handle,contest_count,ema_last,ema_slope_last_5,positive_residual_rms,late_positive_residual_rms,late_max_positive_residual,max_place_surprise_window_rms,max_rank_ratio_log,skipped_ratio,skipped_contests_count,is_cheater
--dark--,5,123.55555555555559,-232.4444444444444,0.0,0.0,0.0,0.0,0.0,0.6,3,True
-0.50,64,20.776065571027694,10.409733617700013,57.81544685897383,57.81544685897383,139.53643831676646,0.9862714126808907,0.5188866590154944,0.046875,3,True
777dimasik777,3,287.33333333333337,-68.66666666666663,57.0,0.0,0.0,0.0,0.0,0.6666666666666666,2,True
9kitsune,88,-14.743356282823957,-20.792615101027682,51.585781652483206,51.585781652483206,119.22487361486482,0.7961147846044213,0.8010731435968852,0.0,0,True
9ovem,14,-91.11275381462852,-115.66693762807164,12.788145135146074,1.7530864197530178,1.7530864197530178,1.7900089032540445,4.710816375123078,0.07142857142857142,1,True
9xcuze,16,3.3356599216929963,-58.176118431877796,43.75787666530708,43.75787666530708,68.99476517619075,1.129638490768231,1.4066858918108713,0.0,0,True
_hemlock_,21,17.029755113901007,-28.933380150222828,49.56197455089639,49.56197455089639,79.58294565572137,0.6823424548580459,0.8533692172611482,0.0,0,True
bhumi_20,6,128.49382716049388,-280.5061728395061,124.06449935416659,0.0,0.0,0.0,0.0,0.16666666666666666,1,True
bibek_sah,8,38.685871056241474,-292.5363511659808,0.0,0.0,0.0,0.0,0.0,0.0,0,True
bromate04,3,414.2222222222223,-156.77777777777771,0.0,0.0,0.0,0.0,0.0,0.0,0,True
bricked_,46,-15.679407803763398,-14.86490579721119,83.63451705990572,83.63451705990572,200.22352732333536,1.0296495989031056,1.9095425048844386,0.0,0,True
bro_gona_rock,25,-17.11314742582934,-2.9778385825682854,103.3045527961378,103.3045527961378,245.504581708116,1.030422679087305,2.211086049535028,0.12,3,True
snb,15,15.805621571036738,-27.835337632336753,60.291567643444886,60.291567643444886,60.291567643444886,0.4380616496216841,0.4134246779555667,0.0,0,True
BVSAKETH,31,49.578872274809115,42.96083138358798,96.52221728465713,96.52221728465713,213.9475373816795,1.3891798580738708,2.7174301552320252,0.0,0,True
zilinj,15,8.570399682707551,-27.567248710999387,68.64669739532758,68.64669739532758,98.69029111415938,1.1203912749855593,1.125286415042522,0.0,0,True
ItzManu,13,25.477347438379816,0.18577603158203715,59.5749353750207,59.5749353750207,67.70842859320223,0.8417764936192712,0.8318594989539643,0.0,0,True
